time_s,range,from_id,to_id,tx1,rx1,tx2,rx2,tx3,rx3,fpp1,fpp2,skew1,skew2,x,y,z,w,rot_x,rot_y,rot_z,tag_pos_x,tag_pos_y,tag_pos_z,bias,gt_range,range_calib,bias_calib,std
22.576530404,3.385699987411499,1,12,14642484.788161058,1668308.8723207132,1977917.48046875,14952115.760216346,3516635.4291866985,16490832.56648137,-82.80290222167969,-82.74009704589844,0.7888000011444092,-0.7272999882698059,1.6829228881261717,0.33685163038370836,2.066736134372105,0.9380767485191351,0.023705978615171295,0.2812405074470442,-0.2008825961515667,1.573204402723631,0.1668273833138603,2.1845860786627314,0.24003983842120302,3.145660148990296,3.1966772038997617,0.05101705490946573,0.17346343275022413
22.584459638,6.041999816894531,2,4,22843734.788161058,8610590.429061498,8913750.813802084,23146936.489007413,10452468.762520032,24685659.492688302,-86.87139892578125,-87.71389770507812,-3.257699966430664,2.8441998958587646,1.6901611795499587,0.3261192962567743,2.0662505951061534,0.9370457460492327,0.023936917478250712,0.28190216937019213,-0.20470334803577472,1.6615716955763227,0.34652213675136995,2.169944208727597,0.21936290264476632,5.822636914249765,5.919760619805816,0.09712370555605077,0.12485049675147997
22.589397944,5.9079999923706055,1,4,26641747.608673878,12528173.89072516,12835577.736879006,26949191.284179688,14374295.685596956,28487911.251752805,-90.53089904785156,-89.45590209960938,-1.843999981880188,1.4257999658584595,1.6946434513738875,0.3194162259486641,2.0659941812746476,0.9364142062064683,0.024135334346511942,0.28230724975740923,-0.20699888112040563,1.5831987982522295,0.15100737258905983,2.1845418400482255,0.26151447722234344,5.646485515148262,5.771987495185819,0.12550198003755675,0.11429024803551982
22.593812901,2.0799999237060547,2,5,31843494.403545674,18542968.562199518,18844808.506109774,32145348.667242587,20383526.454827726,33684068.853916265,-81.21109771728516,-80.85929870605469,-1.4574999809265137,1.4184000492095947,1.698630246500461,0.3134144963981637,2.06579500869708,0.9358631221181609,0.02435677702062303,0.2826614972671636,-0.20897234753694335,1.6704397062206116,0.3341938104380708,2.1695230837142185,0.049132956858847,2.0308669668472077,2.0025081023138083,-0.02835886453339942,0.1319619026764595
22.597854399,1.9811999797821045,1,5,35641483.18559696,22460552.05516326,22768838.954827726,35949783.184344955,24307556.903545674,37488500.52271134,-86.59850311279297,-86.52860260009766,0.01759999990463257,-0.29330000281333923,1.7022610606529822,0.30791410644327144,2.0656373455354995,0.9353723097718415,0.02460039905668932,0.28297901157569383,-0.21070439360864077,1.5897575002640836,0.14046240563788315,2.1845401495276855,0.12751047565705864,1.8536895041250459,1.8102680636648327,-0.04342144046021312,0.13082058152639017
22.601642887,3.424299955368042,2,6,39843278.05739183,54336681.753305286,54638983.18559696,40145602.66739283,56177701.1343149,41684322.27501503,-88.3573989868164,-88.44599914550781,-1.3485000133514404,1.2451000213623047,1.7056468884331046,0.30275342634638835,2.06551077216859,0.9349260157280149,0.024867785304144286,0.2832706509744348,-0.21225615813334298,1.6777661369073567,0.3237855235583425,2.169271625004457,0.2265845863556808,3.197715369012361,3.351639339863936,0.15392397085157494,0.11845306916738983
22.605412877,4.573800086975098,1,6,43641242.800981574,58254261.41200922,58581899.85226362,43968911.5240635,60120617.800981574,45507628.345978566,-80.36360168457031,-80.31539916992188,0.7487000226974487,-0.6779999732971191,1.7089979013624648,0.2976142915767544,2.0654050318700508,0.9344969359935015,0.025174536728360054,0.2835549994775558,-0.21372478001053882,1.5956152153820122,0.1309175298406728,2.184533349857682,1.1764888460263019,3.3973112409487958,4.486717477893165,1.0894062369443689,0.08628228909639171
22.609394239,5.7835001945495605,2,7,47843061.71123798,18444994.91373698,18749728.377904646,48147834.92650741,20288446.326622598,49686558.7126903,-88.48480224609375,-87.69329833984375,-4.168499946594238,3.7718000411987305,1.7125156016047862,0.2921839228324365,2.065315074439303,0.9340620229420935,0.02554597325514685,0.2838488279923538,-0.21518685692936385,1.6849141083832453,0.3133988534456107,2.169113360990765,0.20126377125047057,5.58223642329909,5.731108575767684,0.1488721524685941,0.11997075967381043
22.621682837,5.891300201416016,1,7,59571026.454827726,30292557.936448317,30649175.493289262,59927684.09142128,32187893.44200721,61466405.34229767,-86.68710327148438,-86.31420135498047,-2.096400022506714,1.9510999917984009,1.7232210308347984,0.2754121821846878,2.0651738214134725,0.9328498594799536,0.027019839013537612,0.28470857752028295,-0.2190938014967341,1.6081971358809963,0.10993790127773481,2.18443305983123,0.2643055579040725,5.626994643511943,5.750111965046514,0.12311732153457111,0.13146822974418282
22.626089724,3.8326001167297363,2,9,63842621.006109774,55107079.71817408,55447885.4291867,64183452.99353966,56986603.377904646,65722174.10356571,-91.96269989013672,-92.7582015991211,-2.2592999935150146,1.6437000036239624,1.7269989723529642,0.26939703527950865,2.065170867808916,0.9324636479602882,0.027668862341714177,0.2849958566727953,-0.22028014202067017,1.6998879546153352,0.2907511258229341,2.1690698357262788,0.29519609067726105,3.5374040260524753,3.8188417447177287,0.28143771866525347,0.11343808050778992
22.630784617,3.643899917602539,1,9,1424095.3650841345,60024616.24536759,60334984.788161054,1734488.2123898237,61873702.736879006,3273206.098507612,-86.47779846191406,-86.4999008178711,-0.0632999986410141,-0.2709999978542328,1.7309851496329993,0.2629905121662907,2.065193876419607,0.9320803130552935,0.028429808454486186,0.28528733577184295,-0.22142531936115828,1.6151814787154624,0.09795576321238539,2.184307441724925,0.2512958823640119,3.392604035238527,3.482801081271039,0.09019704603251189,0.13154502331037368
22.634276881,5.05079984664917,2,10,5626354.98046875,34876750.190930486,35180289.27534054,5929929.700020032,36719007.224058494,7468657.4300130205,-84.70359802246094,-85.65899658203125,-6.8144001960754395,6.298500061035156,1.733923254678259,0.2582269583412608,2.0652278014625143,0.9318133859603966,0.0290409127950439,0.28549351408840334,-0.22220236844486174,1.706994102473205,0.2795274532940578,2.1691850507349093,0.17852934868629866,4.872270497962871,4.926777420092327,0.054506922129455404,0.1474468898741643
22.638261179,5.044300079345703,1,10,9424239.595853366,38794286.51467348,39100826.1343149,9730814.240284456,40639544.083032854,11269539.028069912,-85.55950164794922,-85.7948989868164,-5.211599826812744,4.229100227355957,1.7372463523769663,0.2527947982761441,2.065283139286958,0.9315259600346529,0.029780738229168328,0.2857168986664879,-0.22302095692658147,1.6208611015737662,0.08800279971784913,2.1841657309757294,0.2607992339983918,4.783500845347311,4.8682302864216735,0.0847294410743622,0.14062655494257148
22.642512638,5.585400104522705,2,11,13626138.634314904,26685654.484675482,26987524.852263622,13928046.186398238,28526242.80098157,15466763.681265024,-85.70850372314453,-85.42649841308594,0.2924000024795532,-0.2542000114917755,1.740757313424416,0.24700199910143483,2.0653607098330484,0.9312370064757615,0.030614868721354698,0.2859404879859947,-0.22382672966732076,1.71397435537374,0.2681813950709377,2.1693804500001086,0.0860306941419191,5.499369410380786,5.453775682372091,-0.04559372800869532,0.14201606308089657
22.647002259,5.72730016708374,1,11,17423999.211237982,30603208.852914665,30912228.377904646,17733056.249374,32450946.326622594,19271770.676832933,-84.98030090332031,-84.4719009399414,2.036799907684326,-1.9128999710083008,1.7444246538333736,0.24088948580326872,2.065462134990651,0.9309488304648434,0.03153925503862004,0.28615899005146206,-0.22461652401476664,1.6274013297047112,0.0762805125246693,2.1839713225080892,0.20162982701778187,5.525670340065958,5.525786141616356,0.00011580155039769835,0.15355148467684787
22.650250552,3.7093000411987305,2,12,21625922.288161058,8532093.145908453,8835874.21123798,21929728.45615485,10374592.15995593,23468448.173327323,-95.7959976196289,-95.00050354003906,-1.5180000066757202,1.3997000455856323,1.7470515350445495,0.23647053037042684,2.065547256643762,0.9307494059974221,0.03223196541390898,0.2863051640361688,-0.2251577151403547,1.7203773742864739,0.2574918692278219,2.1696269975182227,0.7093054025240177,2.9999946386747127,3.715837064320442,0.7158424256457292,0.11522826574855445
22.654147516,3.5118000507354736,1,12,25423766.83944311,12449639.344826723,12758967.15995593,25733117.83228165,14297685.108673878,27271834.497696314,-83.71019744873047,-83.17019653320312,0.26820001006126404,-1.0151000022888184,1.7501731362252315,0.2311732625114802,2.0656614722725735,0.930517982556053,0.0330844995653825,0.2864673575515816,-0.22578342075036373,1.632641783288391,0.06666220775586582,2.1838033105011667,0.30186319149750185,3.209936859237972,3.3169793866684802,0.10704252743050846,0.1699954989381578
