time_s,orientation_x,orientation_y,orientation_z,orientation_w,orientation_covariance_0,orientation_covariance_1,orientation_covariance_2,orientation_covariance_3,orientation_covariance_4,orientation_covariance_5,orientation_covariance_6,orientation_covariance_7,orientation_covariance_8,angular_velocity_x,angular_velocity_y,angular_velocity_z,angular_velocity_covariance_0,angular_velocity_covariance_1,angular_velocity_covariance_2,angular_velocity_covariance_3,angular_velocity_covariance_4,angular_velocity_covariance_5,angular_velocity_covariance_6,angular_velocity_covariance_7,angular_velocity_covariance_8,linear_acceleration_x,linear_acceleration_y,linear_acceleration_z,linear_acceleration_covariance_0,linear_acceleration_covariance_1,linear_acceleration_covariance_2,linear_acceleration_covariance_3,linear_acceleration_covariance_4,linear_acceleration_covariance_5,linear_acceleration_covariance_6,linear_acceleration_covariance_7,linear_acceleration_covariance_8,x,y,z,w,rot_x,rot_y,rot_z
40.52266754,0.21551161,0.92473513,-0.12438120,0.28800854,0.43562375,0.05761287,-0.11356071,0.05761291,0.73652545,0.17243360,-0.11356076,0.17243357,0.61729150,-0.17392578,-0.34047404,-0.66617652,0.69494526,0.00000000,0.00000000,0.00000000,0.61448867,0.00000000,0.00000000,-0.00000000,0.64256796,-5.63504601,-1.23265862,-7.33516073,10291009.21005011,0.00000000,0.00000000,0.00000000,7348085.28795838,0.00000000,0.00000000,-0.00000000,9135388.76920938,-2.41728632,-2.62194445,1.59795374,-0.21972255,-0.37988286,-0.05080703,0.89712299
40.52761244,0.21370032,0.92489916,-0.12470520,0.28869069,0.43460449,0.05871901,-0.11475077,0.05871902,0.73462324,0.16900880,-0.11475080,0.16900882,0.61535590,-0.16165879,-0.34086229,-0.68724086,0.69494526,0.00000000,0.00000000,0.00000000,0.61448867,0.00000000,0.00000000,-0.00000000,0.64256796,-5.65662670,-1.24242115,-7.37097979,10291009.21005011,0.00000000,0.00000000,0.00000000,7348085.28795838,0.00000000,0.00000000,-0.00000000,9135388.76920938,-2.41417536,-2.62565983,1.59530394,-0.22102638,-0.38044454,-0.05114598,0.89654525
40.53255759,0.21184644,0.92506903,-0.12507306,0.28935295,0.43360365,0.05990310,-0.11594708,0.05990311,0.73259227,0.16549419,-0.11594711,0.16549417,0.61337189,-0.14888654,-0.33808994,-0.71046948,0.69494526,0.00000000,0.00000000,0.00000000,0.61448867,0.00000000,0.00000000,-0.00000000,0.64256796,-5.66617012,-1.24252152,-7.41394854,10291009.21005011,0.00000000,0.00000000,0.00000000,7348085.28795838,0.00000000,0.00000000,-0.00000000,9135388.76920938,-2.41121712,-2.62916440,1.59280319,-0.22231511,-0.38100496,-0.05143000,0.89597219
40.53750249,0.20994604,0.92524648,-0.12546240,0.29000136,0.43261127,0.06113931,-0.11716449,0.06113928,0.73044674,0.16190202,-0.11716448,0.16190206,0.61134715,-0.14884676,-0.33808155,-0.72888104,0.69494526,0.00000000,0.00000000,0.00000000,0.61448867,0.00000000,0.00000000,-0.00000000,0.64256796,-5.65887976,-1.22813880,-7.48793983,10291009.21005011,0.00000000,0.00000000,0.00000000,7348085.28795838,0.00000000,0.00000000,-0.00000000,9135388.76920938,-2.40833620,-2.63255165,1.59038523,-0.22361666,-0.38157591,-0.05167206,0.89539121
40.54244738,0.20800348,0.92543006,-0.12587088,0.29063767,0.43162750,0.06241828,-0.11840177,0.06241828,0.72821373,0.15823412,-0.11840179,0.15823415,0.60929236,-0.14508101,-0.33750681,-0.74889324,0.69494526,0.00000000,0.00000000,0.00000000,0.61448867,0.00000000,0.00000000,-0.00000000,0.64256796,-5.65172195,-1.20897090,-7.53090143,10291009.21005011,0.00000000,0.00000000,0.00000000,7348085.28795838,0.00000000,0.00000000,-0.00000000,9135388.76920938,-2.40519207,-2.63622041,1.58776557,-0.22509021,-0.38222793,-0.05189880,0.89473053
40.55975503,0.20094784,0.92606014,-0.12745894,0.29289380,0.42823401,0.06721114,-0.12280771,0.06721113,0.72028982,0.14505962,-0.12280772,0.14505959,0.60208669,-0.12889487,-0.35992989,-0.79544057,0.69494526,0.00000000,0.00000000,0.00000000,0.61448867,0.00000000,0.00000000,-0.00000000,0.64256796,-5.63987064,-1.21599793,-7.39960957,10291009.21005011,0.00000000,0.00000000,0.00000000,7348085.28795838,0.00000000,0.00000000,-0.00000000,9135388.76920938,-2.39099277,-2.65245960,1.57616730,-0.23238240,-0.38551089,-0.05254667,0.89141383
40.57458998,0.19462997,0.92654312,-0.12899233,0.29495409,0.42537169,0.07164550,-0.12662877,0.07164553,0.71379630,0.13351193,-0.12662880,0.13351195,0.59610973,-0.12337384,-0.38247222,-0.82579561,0.69494526,0.00000000,0.00000000,0.00000000,0.61448867,0.00000000,0.00000000,-0.00000000,0.64256796,-5.68035507,-1.20688534,-7.54759407,10291009.21005011,0.00000000,0.00000000,0.00000000,7348085.28795838,0.00000000,0.00000000,-0.00000000,9135388.76920938,-2.38372938,-2.66058542,1.57036632,-0.23644368,-0.38734473,-0.05274365,0.88953727
40.57953487,0.19248766,0.92669678,-0.12952368,0.29564372,0.42444188,0.07316491,-0.12790969,0.07316489,0.71166601,0.12964251,-0.12790969,0.12964253,0.59417655,-0.12600457,-0.38354877,-0.83013523,0.69494526,0.00000000,0.00000000,0.00000000,0.61448867,0.00000000,0.00000000,-0.00000000,0.64256796,-5.69228506,-1.19985092,-7.60249329,10291009.21005011,0.00000000,0.00000000,0.00000000,7348085.28795838,0.00000000,0.00000000,-0.00000000,9135388.76920938,-2.38327303,-2.66109240,1.57000454,-0.23670499,-0.38746180,-0.05275432,0.88941615
40.58448002,0.19033372,0.92685252,-0.13004562,0.29632014,0.42352711,0.07467551,-0.12920184,0.07467551,0.70952062,0.12578013,-0.12920179,0.12578013,0.59227372,-0.12276466,-0.38982278,-0.83717756,0.69494526,0.00000000,0.00000000,0.00000000,0.61448867,0.00000000,0.00000000,-0.00000000,0.64256796,-5.74716568,-1.20520091,-7.59291363,10291009.21005011,0.00000000,0.00000000,0.00000000,7348085.28795838,0.00000000,0.00000000,-0.00000000,9135388.76920938,-2.37999269,-2.66472527,1.56741286,-0.23860260,-0.38830653,-0.05282645,0.88853599
40.58942492,0.18817997,0.92698926,-0.13055630,0.29704264,0.42260391,0.07616773,-0.13048697,0.07616773,0.70758329,0.12195650,-0.13048697,0.12195648,0.59044513,-0.12005458,-0.39978650,-0.84045119,0.69494526,0.00000000,0.00000000,0.00000000,0.61448867,0.00000000,0.00000000,-0.00000000,0.64256796,-5.81386948,-1.22023249,-7.52841425,10291009.21005011,0.00000000,0.00000000,0.00000000,7348085.28795838,0.00000000,0.00000000,-0.00000000,9135388.76920938,-2.37668711,-2.66836672,1.56481651,-0.24054646,-0.38916052,-0.05289230,0.88763387
